
Lotto Texas,8,12,2024,7,14,25,47,42,1
Lotto Texas,8,14,2024,39,1,3,43,30,10
Lotto Texas,8,17,2024,26,33,49,4,7,43
Lotto Texas,8,19,2024,38,14,15,45,22,44
Lotto Texas,8,21,2024,33,44,31,21,13,10
Lotto Texas,8,24,2024,6,38,51,41,8,5
Lotto Texas,8,26,2024,30,16,36,2,43,4
Lotto Texas,8,28,2024,49,36,47,17,13,12
Lotto Texas,8,31,2024,43,32,34,4,21,8
Lotto Texas,9,2,2024,46,37,24,25,38,40
Lotto Texas,9,4,2024,47,9,32,53,22,1
Lotto Texas,9,7,2024,4,37,31,38,2,49
Lotto Texas,9,9,2024,38,28,9,27,48,39
Lotto Texas,9,11,2024,49,31,33,3,23,24
Lotto Texas,9,14,2024,53,32,54,16,34,51
Lotto Texas,9,16,2024,29,3,37,44,27,51
Lotto Texas,9,18,2024,25,49,50,47,18,32
Lotto Texas,9,21,2024,2,24,22,11,5,13
Lotto Texas,9,23,2024,18,35,44,48,40,13
Lotto Texas,9,25,2024,50,15,13,47,43,48
Lotto Texas,9,28,2024,30,23,3,39,40,42
Lotto Texas,9,30,2024,22,2,51,6,53,35
Lotto Texas,10,2,2024,33,19,12,47,10,34
Lotto Texas,10,5,2024,21,39,37,43,10,52
Lotto Texas,10,7,2024,29,22,5,20,25,32
Lotto Texas,10,9,2024,38,43,47,50,45,33
Lotto Texas,10,12,2024,20,30,23,42,14,45
Lotto Texas,10,14,2024,1,40,39,28,8,32
Lotto Texas,10,16,2024,23,26,14,6,44,13
Lotto Texas,10,19,2024,38,2,25,12,22,39
Lotto Texas,10,21,2024,3,5,30,50,27,35
Lotto Texas,10,23,2024,12,15,22,31,51,24
Lotto Texas,10,26,2024,49,15,52,1,28,10
Lotto Texas,10,28,2024,14,15,13,9,7,40
Lotto Texas,10,30,2024,44,17,45,10,7,19
Lotto Texas,11,2,2024,39,16,25,43,11,21
Lotto Texas,11,4,2024,8,49,29,51,3,22
Lotto Texas,11,6,2024,34,40,30,3,46,50
Lotto Texas,11,9,2024,54,29,26,27,3,34
Lotto Texas,11,11,2024,39,1,14,48,22,16
Lotto Texas,11,13,2024,9,28,51,25,11,4
Lotto Texas,11,16,2024,5,4,36,37,9,32
Lotto Texas,11,18,2024,43,34,52,46,8,24
Lotto Texas,11,20,2024,35,14,11,19,32,26
Lotto Texas,11,23,2024,4,41,13,39,29,7
Lotto Texas,11,25,2024,27,1,22,42,10,52
Lotto Texas,11,27,2024,38,49,19,4,1,14
Lotto Texas,11,30,2024,25,2,33,6,38,24
Lotto Texas,12,2,2024,45,52,31,43,37,22
Lotto Texas,12,4,2024,35,52,43,21,39,7
Lotto Texas,12,7,2024,19,1,21,32,37,52
Lotto Texas,12,9,2024,7,40,50,19,22,27
Lotto Texas,12,11,2024,20,14,18,36,34,54
Lotto Texas,12,14,2024,9,7,44,42,18,19
Lotto Texas,12,16,2024,6,7,43,19,11,1
Lotto Texas,12,18,2024,15,4,53,18,45,21
Lotto Texas,12,21,2024,48,28,12,21,5,46
Lotto Texas,12,23,2024,38,47,15,7,42,27
Lotto Texas,12,25,2024,20,30,23,42,50,52
Lotto Texas,12,28,2024,33,46,17,52,48,4
Lotto Texas,12,30,2024,25,38,28,21,8,35
Lotto Texas,1,1,2025,45,37,20,22,41,29
Lotto Texas,1,4,2025,46,40,35,17,15,53
Lotto Texas,1,6,2025,18,51,35,9,41,31
Lotto Texas,1,8,2025,17,12,37,44,38,26
Lotto Texas,1,11,2025,12,20,46,1,15,18
Lotto Texas,1,13,2025,46,29,16,54,2,14
Lotto Texas,1,15,2025,24,40,29,46,42,19
Lotto Texas,1,18,2025,30,34,15,48,5,28
Lotto Texas,1,20,2025,29,19,21,40,10,50
Lotto Texas,1,22,2025,19,35,29,2,11,18
Lotto Texas,1,25,2025,25,32,31,13,3,48
Lotto Texas,1,27,2025,48,17,40,46,25,9
Lotto Texas,1,29,2025,50,29,2,40,14,18
Lotto Texas,2,1,2025,51,12,4,2,54,42
Lotto Texas,2,3,2025,37,54,5,20,31,6
Lotto Texas,2,5,2025,43,49,27,3,54,41
Lotto Texas,2,8,2025,41,25,32,54,48,10
Lotto Texas,2,10,2025,34,36,13,11,39,4
Lotto Texas,2,12,2025,49,40,36,5,18,17
Lotto Texas,2,15,2025,50,28,7,40,43,44
Lotto Texas,2,17,2025,47,25,45,21,52,19
Lotto Texas,2,19,2025,19,9,28,21,2,32
Lotto Texas,2,22,2025,18,9,31,52,45,27
Lotto Texas,2,24,2025,1,36,48,2,22,52
Lotto Texas,2,26,2025,16,39,36,53,17,6
Lotto Texas,3,1,2025,16,27,45,26,10,20
Lotto Texas,3,3,2025,35,7,44,10,26,54
Lotto Texas,3,5,2025,19,8,46,16,34,49
Lotto Texas,3,8,2025,35,49,2,22,13,17
Lotto Texas,3,10,2025,30,10,27,43,6,41
Lotto Texas,3,12,2025,27,35,52,24,40,25
Lotto Texas,3,15,2025,10,15,17,28,12,1
Lotto Texas,3,17,2025,25,16,6,10,37,21
Lotto Texas,3,19,2025,33,22,26,52,37,10
Lotto Texas,3,22,2025,6,8,15,34,33,17
Lotto Texas,3,24,2025,12,15,23,37,20,3
Lotto Texas,3,26,2025,11,48,18,9,26,33
Lotto Texas,3,29,2025,23,52,51,41,40,48
Lotto Texas,3,31,2025,4,6,41,11,42,31
Lotto Texas,4,2,2025,48,50,47,53,10,54
Lotto Texas,4,5,2025,47,53,51,28,12,38
Lotto Texas,4,7,2025,27,22,43,9,47,34
Lotto Texas,4,9,2025,19,43,31,33,16,2
Lotto Texas,4,12,2025,42,3,35,14,44,26
Lotto Texas,4,14,2025,18,28,5,35,44,42
Lotto Texas,4,16,2025,42,15,24,39,37,17
Lotto Texas,4,19,2025,41,18,54,26,45,17
Lotto Texas,4,21,2025,8,43,49,44,27,48
Lotto Texas,4,23,2025,38,54,4,33,19,41
Lotto Texas,4,26,2025,1,52,22,25,4,27
Lotto Texas,4,28,2025,19,36,22,30,17,54
Lotto Texas,4,30,2025,53,6,14,31,50,23
Lotto Texas,5,3,2025,12,20,18,9,13,49
Lotto Texas,5,5,2025,30,40,28,26,47,54
Lotto Texas,5,7,2025,20,15,6,43,8,34
